timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Red,Green,Blue,Clear,Water_Type
2026-06-17T10:28:55.127449,1,Tengra,7.13,32.3,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:56.127556,1,Tengra,7.09,32.1,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:57.127863,1,Tengra,7.17,32.3,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:58.127977,1,Tengra,7.08,32.4,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:28:59.128148,1,Tengra,7.08,32.4,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:00.128282,1,Tengra,7.09,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:01.128399,1,Tengra,7.07,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:02.128517,1,Tengra,7.16,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:03.128618,1,Tengra,7.08,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:04.128739,1,Tengra,7.09,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:05.128853,1,Tengra,7.13,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:06.128962,1,Tengra,7.07,32.5,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:07.129089,1,Tengra,7.07,32.5,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:08.129192,1,Tengra,7.12,32.5,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:09.129311,1,Tengra,7.08,32.5,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:10.129423,1,Tengra,7.07,32.3,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:11.130393,1,Tengra,7.14,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:12.130489,1,Tengra,7.07,32.1,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:13.131094,1,Tengra,7.09,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:14.131198,1,Tengra,7.1,32.0,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:15.131309,1,Tengra,7.18,32.4,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:16.131488,1,Tengra,7.08,32.4,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:17.131572,1,Tengra,7.1,32.3,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:18.131655,1,Tengra,7.08,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:19.131748,1,Tengra,7.07,32.1,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:20.132140,1,Tengra,7.18,32.4,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:29:21.132266,1,Tengra,7.07,32.4,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:22.132507,1,Tengra,7.08,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:23.132605,1,Tengra,7.08,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:24.132722,1,Tengra,7.09,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:25.132878,1,Tengra,7.08,32.1,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:29:26.132981,1,Tengra,7.14,32.4,800.0,0.5,0.24,252,252,252,252,Clear
2026-06-17T10:29:27.133106,1,Tengra,7.06,32.1,800.0,0.5,0.25,252,252,252,252,Clear
2026-06-17T10:29:28.133198,1,Tengra,7.18,32.5,800.0,0.5,0.25,252,252,252,252,Clear
2026-06-17T10:29:29.133303,1,Tengra,7.09,32.4,800.0,0.5,0.25,252,252,252,252,Clear
2026-06-17T10:29:30.133414,1,Tengra,7.06,32.1,800.0,0.5,0.25,252,252,252,252,Clear
2026-06-17T10:29:31.133527,1,Tengra,7.17,32.5,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:32.133627,1,Tengra,7.08,32.5,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:29:33.133721,1,Tengra,7.07,32.2,800.0,0.5,0.32,252,252,252,252,Clear
2026-06-17T10:29:34.133811,1,Tengra,7.13,32.5,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:35.133918,1,Tengra,7.09,32.0,800.0,0.5,0.23,252,252,252,252,Clear
2026-06-17T10:29:36.133958,1,Tengra,7.09,32.5,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:37.134046,1,Tengra,7.14,32.5,800.0,0.5,0.24,252,252,252,252,Clear
2026-06-17T10:29:38.134135,1,Tengra,7.06,32.1,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:39.134283,1,Tengra,7.18,32.4,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:40.134421,1,Tengra,7.08,32.5,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:41.134514,1,Tengra,7.08,32.3,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:29:42.134613,1,Tengra,7.13,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:43.134707,1,Tengra,7.09,32.5,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:44.134787,1,Tengra,7.06,32.2,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:45.134881,1,Tengra,7.09,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:46.134984,1,Tengra,7.06,32.4,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:47.135084,1,Tengra,7.07,32.4,800.0,0.5,0.26,252,252,252,252,Clear
2026-06-17T10:29:48.135199,1,Tengra,7.17,32.5,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:49.135310,1,Tengra,7.08,32.2,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:50.137337,1,Tengra,7.1,32.2,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:51.137396,1,Tengra,7.12,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:52.137567,1,Tengra,7.07,32.4,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:53.137670,1,Tengra,7.16,32.4,800.0,0.5,0.23,252,252,252,252,Clear
2026-06-17T10:29:54.137759,1,Tengra,7.09,32.4,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:55.137885,1,Tengra,7.08,32.1,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:29:56.137984,1,Tengra,7.18,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:29:57.138068,1,Tengra,7.09,32.5,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:29:58.138210,1,Tengra,7.08,32.4,800.0,0.5,0.29,252,252,252,252,Clear
2026-06-17T10:29:59.138360,1,Tengra,7.06,32.4,800.0,0.5,0.23,252,252,252,252,Clear
2026-06-17T10:30:00.138444,1,Tengra,7.08,32.5,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:30:01.138551,1,Tengra,7.07,32.1,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:30:02.138670,1,Tengra,7.15,32.5,800.0,0.5,0.28,252,252,252,252,Clear
2026-06-17T10:30:03.138751,1,Tengra,7.08,32.5,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:30:04.138835,1,Tengra,7.09,32.1,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:30:05.138930,1,Tengra,7.18,32.5,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:30:06.139022,1,Tengra,7.11,32.5,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:30:07.139104,1,Tengra,7.08,32.5,800.0,0.5,0.28,252,252,252,252,Clear
2026-06-17T10:30:08.139192,1,Tengra,7.1,32.5,800.0,0.5,0.61,252,252,252,252,Clear
2026-06-17T10:30:09.139280,1,Tengra,7.07,32.5,800.0,0.5,0.63,252,252,252,252,Clear
2026-06-17T10:30:10.139367,1,Tengra,7.07,32.1,800.0,0.5,0.64,252,252,252,252,Clear
2026-06-17T10:30:11.139456,1,Tengra,7.08,32.2,800.0,0.5,0.41,252,252,252,252,Clear
2026-06-17T10:30:12.139570,1,Tengra,7.08,32.3,800.0,0.5,0.59,252,252,252,252,Clear
2026-06-17T10:30:13.139674,1,Tengra,7.09,32.1,800.0,0.5,0.71,252,252,252,252,Clear
2026-06-17T10:30:14.140025,1,Tengra,7.07,32.4,800.0,0.5,0.64,252,252,252,252,Clear
2026-06-17T10:30:15.140136,1,Tengra,7.06,32.3,800.0,0.5,0.63,252,252,252,252,Clear
2026-06-17T10:30:16.140263,1,Tengra,7.07,32.3,800.0,0.5,0.64,252,252,252,252,Clear
2026-06-17T10:30:17.140484,1,Tengra,7.07,32.0,800.0,0.5,0.65,252,252,252,252,Clear
2026-06-17T10:30:18.140617,1,Tengra,7.1,32.0,800.0,0.5,0.67,252,252,252,252,Clear
2026-06-17T10:30:19.140840,1,Tengra,7.1,32.1,800.0,0.5,0.64,252,252,252,252,Clear
2026-06-17T10:30:20.140942,1,Tengra,7.07,32.1,800.0,0.5,0.63,252,252,252,252,Clear
2026-06-17T10:30:21.141068,1,Tengra,7.07,32.2,800.0,0.5,0.68,252,252,252,252,Clear
2026-06-17T10:30:22.141188,1,Tengra,7.09,32.2,800.0,0.5,0.65,252,252,252,252,Clear
2026-06-17T10:30:23.141273,1,Tengra,7.08,32.3,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:30:24.141368,1,Tengra,7.16,32.4,800.0,0.5,0.55,252,252,252,252,Clear
2026-06-17T10:30:25.141460,1,Tengra,7.06,32.4,800.0,0.5,0.65,252,252,252,252,Clear
2026-06-17T10:30:26.141547,1,Tengra,7.18,32.4,800.0,0.5,0.55,252,252,252,252,Clear
